sentence,answer,span1,span2
The sound of hot water running typically has a [MASK] pitch than the sound of footsteps in the city.,lower,hot water running,footsteps in the city
The sound of fireworks has a [MASK] pitch than the sound of a market.,higher,sound of fireworks,sound of a market
The sound of a shopping mall typically has a [MASK] pitch than the sound of skateboarders in a park.,lower,sound of a shopping mall,sound of skateboarders in a park
The sound of crujido del suelo has a [MASK] pitch than the sound of a dark industrial-inspired soundscape.,higher,sound of crujido del suelo,dark industrial-inspired soundscape
The sound of rain on a metal roof typically has a [MASK] pitch than the sound of someone tapping a radiator.,higher,rain on a metal roof,someone tapping a radiator
The sound of footsteps in the grass has a [MASK] pitch than the ambient sounds of a South African bush.,lower,sound of footsteps in the grass,ambient sounds of a South African bush
The sound of college ambience on a windy day typically has a [MASK] pitch than construction works.,lower,sound of college ambience on a windy day,construction works
"The sound of the sea in Brela, Croatia, typically has a [MASK] pitch than the sound of a stream flowing at night in a forest.",lower,sound of the sea in Brela Croatia,sound of a stream flowing at night in a forest
The sound of campus ambience typically has a [MASK] pitch than the sound of a roof rumbling in a storm.,lower,campus ambience,roof rumbling in a storm
The sound of birds and wind typically has a [MASK] pitch than the sound in a dentist's waiting room.,higher,sound of birds and wind,sound in a dentist's waiting room
The sound of water pouring out typically has a [MASK] pitch than the sound of wind.,lower,sound of water pouring out,sound of wind
The sound of a gas flame typically has a [MASK] pitch than the sound of rainwater.,higher,sound of a gas flame,sound of rainwater
The sound of a bird in the desert typically has a [MASK] pitch than the quiet talking in a college library.,higher,sound of a bird in the desert,quiet talking in a college library
The sound of a church bell typically has a [MASK] pitch than the sound of a Russian button accordion.,lower,sound of a church bell,Russian button accordion
The sound of traffic in Bangkok typically has a [MASK] pitch than the chirping of a cricket in a bathroom.,lower,sound of traffic in Bangkok,chirping of a cricket in a bathroom
The sound of a crowded metro platform has a [MASK] pitch than the sound of industry along a river.,higher,crowded metro platform,sound of industry along a river
The sound of a crowded bar typically has a [MASK] pitch than the sound of an elevator opening.,higher,crowded bar,elevator opening
The sound of footsteps on dry leaves has a [MASK] pitch than the sound collected at Amsterdam Central Station.,lower,sound of footsteps on dry leaves,sound collected at Amsterdam Central Station
The sound of roadworks typically has a [MASK] pitch than the general ambience of an underground station.,higher,sound of roadworks,general ambience of an underground station
The sound of a residential area near a park has a [MASK] pitch than the sound of an industrial air conditioner.,higher,sound of a residential area near a park,industrial air conditioner
The sound of a sailboat halyard beating against the mast typically has a [MASK] pitch than the sound of walking on a gravel field.,higher,sailboat halyard beating against the mast,walking on a gravel field
The sound of birds in the woods has a [MASK] pitch than the room tone in a trailer at a campground.,higher,sound of birds in the woods,room tone in a trailer at a campground
The sound of a seaside in Portugal has a [MASK] pitch than the sound of a library door.,higher,sound of a seaside in Portugal,library door
The sound of a college hallway typically has a [MASK] pitch than the sound inside a water reservoir.,higher,sound of a college hallway,sound inside a water reservoir
The sound of a train in the distance typically has a [MASK] pitch than the sound of a door rattling in the wind.,higher,sound of a train in the distance,sound of a door rattling in the wind
The sound of a lunchtime food court typically has a [MASK] pitch than the ambient sound of a shopping mall.,higher,lunchtime food court,shopping mall
The sound of wind chimes typically has a [MASK] pitch than the sound of rain drips.,higher,sound of wind chimes,sound of rain drips
The sound of water draining off a roof typically has a [MASK] pitch than the sound of a randomized boom in a cave.,higher,water draining off a roof,randomized boom in a cave
The sound of a stream typically has a [MASK] pitch than the sound of traffic and birds.,lower,sound of a stream,sound of traffic and birds
The sound of a flare in a factory typically has a [MASK] pitch than the sound of a door opening.,higher,sound of a flare in a factory,sound of a door opening
The sound of concrete being poured typically has a [MASK] pitch than the sound of children playing in a square.,lower,sound of concrete being poured,sound of children playing in a square
The sound of air-conditioning in an office typically has a [MASK] pitch than the sound of seagulls at a beach.,lower,sound of air-conditioning in an office,sound of seagulls at a beach
The sound of an elevator door opening has a [MASK] pitch than the sound of footsteps on dry leaves.,higher,elevator door opening,footsteps on dry leaves
The sound of pedestrian traffic lights typically has a [MASK] pitch than the sound of a small pond in winter.,higher,sound of pedestrian traffic lights,small pond in winter
The sound of a door opening and closing typically has a [MASK] pitch than the sound of outdoor birds.,lower,door opening and closing,outdoor birds
The sound of wind has a [MASK] pitch than the sound of people talking in a restaurant.,higher,sound of wind,sound of people talking in a restaurant
The ambient sound of a fitness center has a [MASK] pitch than the sound of a lamp-post in an urban environment.,higher,ambient sound of a fitness center,sound of a lamp-post in an urban environment
The sound of water running in a kitchen sink typically has a [MASK] pitch than the sound of seawater washing on a beach.,higher,water running in a kitchen sink,seawater washing on a beach
The sound of wind blowing through trees has a [MASK] pitch than the vibration caused by a gas furnace.,higher,sound of wind blowing through trees,vibration caused by a gas furnace
The sound of a gas burner typically has a [MASK] pitch than the sound of a city ambience.,higher,sound of a gas burner,sound of a city ambience
The sound of rustling a plastic bag typically has a [MASK] pitch than the sound of walking in the woods and crunching sticks.,higher,sound of rustling a plastic bag,sound of walking in the woods and crunching sticks
The sound of wind rustling in trees typically has a [MASK] pitch than the sounds of a SoundWalk.,lower,sound of wind rustling in trees,sounds of a SoundWalk
The sound of plastic bags in a marketplace typically has a [MASK] pitch than the ambient noise in an arcade.,lower,sound of plastic bags in a marketplace,ambient noise in an arcade
The hum of a freezer in a bar typically has a [MASK] pitch than the sounds of a pasture.,higher,hum of a freezer in a bar,sounds of a pasture
The sound of children and church bells in a public place typically has a [MASK] pitch than the sound of an elevator door opening.,higher,children and church bells in a public place,elevator door opening
"The sound of rain in a dark forest typically has a [MASK] pitch than the sound of rain in a park in Krasnodar, Russia.",lower,sound of rain in a dark forest,sound of rain in a park in Krasnodar Russia
The sound of a saxophone typically has a [MASK] pitch than the sound of a gas fire.,higher,sound of a saxophone,sound of a gas fire
The sound of a soda machine typically has a [MASK] pitch than the sound of sea waves.,higher,sound of a soda machine,sound of sea waves
The sound of birds chirping typically has a [MASK] pitch than the sound of water dripping.,higher,sound of birds chirping,sound of water dripping
The sound of a water drop typically has a [MASK] pitch than the sound of wind.,higher,sound of a water drop,sound of wind
The sound of wind chimes typically has a [MASK] pitch than the sound of bubbling underwater.,higher,sound of wind chimes,sound of bubbling underwater
The sound of ambience in Namsan Tower has a [MASK] pitch than the sound of a kitchen.,lower,sound of ambience in Namsan Tower,sound of a kitchen
The sound of birdsongs in the afternoon typically has a [MASK] pitch than the sound of a sliding door.,higher,birdsongs in the afternoon,sliding door
The sound of birds chirping typically has a [MASK] pitch than the crackling of a burning room.,higher,birds chirping,crackling of a burning room
The sound of rain has a [MASK] pitch than the crackling of a campfire.,higher,sound of rain,crackling of a campfire
The sound of rain has a [MASK] pitch than the sound of a stream.,lower,sound of rain,sound of a stream
The sound of water inside a pipeline's WC typically has a [MASK] pitch than the ambient noise at a university during a brake.,lower,sound of water inside a pipeline's WC,ambient noise at a university during a brake
The sound of the drone of two large bronze objects in the wind typically has a [MASK] pitch than the roomtone of a machine room.,lower,drone of two large bronze objects in the wind,roomtone of a machine room
The sound of rain water running off a hillside typically has a [MASK] pitch than the sound of children sledding in the snow.,lower,sound of rain water running off a hillside,sound of children sledding in the snow
The sound of children playing in a suburban backyard typically has a [MASK] pitch than the silence in a forest.,higher,sound of children playing in a suburban backyard,silence in a forest
The sound of a squeaky door has a [MASK] pitch than the sound of a hand trolley.,higher,sound of a squeaky door,hand trolley
The sound of a forest in the early evening has a [MASK] pitch than the sound of footsteps in the wild.,lower,sound of a forest in the early evening,footsteps in the wild
The sound of a door opening typically has a [MASK] pitch than the sound of water draining.,higher,sound of a door opening,sound of water draining
The sound of a pneumatic lug wrench typically has a [MASK] pitch than the ambient noise in a train station waiting room.,higher,sound of a pneumatic lug wrench,ambient noise in a train station waiting room
The sound of a forgotten laboratory typically has a [MASK] pitch than the sound of water flowing through a sewer drain.,higher,sound of a forgotten laboratory,water flowing through a sewer drain
The sound of machinery in a factory has a [MASK] pitch than the sound of water flowing under a frozen lake.,higher,machinery in a factory,water flowing under a frozen lake
The sound of footsteps on wooden boards has a [MASK] pitch than the sound of kids playing in a park.,higher,sound of footsteps on wooden boards,sound of kids playing in a park
The sound of a creaky balcony door has a [MASK] pitch than the humming of a refrigeration unit.,higher,creaky balcony door,humming of a refrigeration unit
The sound of a computer keyboard typically has a [MASK] pitch than the ambient sounds of a lake.,higher,sound of a computer keyboard,ambient sounds of a lake
The sound of a forest in Malaysia has a [MASK] pitch than the sound of a building site.,lower,sound of a forest in Malaysia,sound of a building site
The sound of a flag flapping in the wind typically has a [MASK] pitch than the sound of water swashing.,higher,flag flapping in the wind,sound of water swashing
The sound of a closing door typically has a [MASK] pitch than the sound of dogs and birds in a backyard ambiance.,lower,sound of a closing door,dogs and birds in a backyard ambiance
The sound of traffic under a flyover typically has a [MASK] pitch than the sound of water in a river.,higher,sound of traffic under a flyover,sound of water in a river
The sound of birds and tractors in a Dutch farmland has a [MASK] pitch than the sound of birds and traffic in a Virginia suburb.,lower,sound of birds and tractors in a Dutch farmland,sound of birds and traffic in a Virginia suburb
The sound of a bustling shopping mall has a [MASK] pitch than the sound of dripping taps in a bathroom.,higher,sound of a bustling shopping mall,dripping taps in a bathroom
The sound of footsteps on a wood floor typically has a [MASK] pitch than the soundscape of a convenience store.,higher,sound of footsteps on a wood floor,soundscape of a convenience store
The sound of a creepy old elevator has a [MASK] pitch than the sound of a museum.,higher,creepy old elevator,museum
The sound of waves on a pebble beach typically has a [MASK] pitch than the sound of a jackhammer.,lower,waves on a pebble beach,jackhammer
The sound of a jackhammer typically has a [MASK] pitch than the ambient sounds of a rural town.,higher,sound of a jackhammer,ambient sounds of a rural town
The sound of a water font typically has a [MASK] pitch than the sound of footsteps on a metal staircase.,lower,sound of a water font,sound of footsteps on a metal staircase
The sound of cicadas in an urban atmosphere typically has a [MASK] pitch than the ambience outside a gym.,higher,sound of cicadas in an urban atmosphere,ambience outside a gym
The sound of water flowing in pipes has a [MASK] pitch than the sound of cars on a cobbled street.,lower,water flowing in pipes,cars on a cobbled street
The sound of stormy wind typically has a [MASK] pitch than the sound of draining water.,lower,sound of stormy wind,sound of draining water
The sound of a calm street typically has a [MASK] pitch than the sound of a jetski.,lower,sound of a calm street,sound of a jetski
The sound of outside ambience typically has a [MASK] pitch than the crackling of a campfire.,higher,sound of outside ambience,crackling of a campfire
A dog's growl typically has a [MASK] pitch than the chirping of a flock of birds.,lower,dog's growl,flock of birds
"The sound of bubbling, thick liquid typically has a [MASK] pitch than the sound of wind from inside a wooden garage.",higher,sound of bubbling thick liquid,sound of wind from inside a wooden garage
The sound of a small river typically has a [MASK] pitch than the sound of a metro station.,higher,small river,metro station
The sound of a college campus typically has a [MASK] pitch than the sound of wind flapping a plastic bag.,higher,sound of a college campus,wind flapping a plastic bag
The sound of waves into hollow rocks has a [MASK] pitch than the ambient sound in a park.,lower,sound of waves into hollow rocks,ambient sound in a park
The sound of a wind farm typically has a [MASK] pitch than the sound of water boiling.,lower,sound of a wind farm,sound of water boiling
The sound of a fan typically has a [MASK] pitch than the room tone of a computer room.,higher,sound of a fan,room tone of a computer room
The sound of dirt rolling down a slope typically has a [MASK] pitch than the ambient noise in a corridor.,higher,sound of dirt rolling down a slope,ambient noise in a corridor
The sound of waves breaking on a rocky shore typically has a [MASK] pitch than the hum of electronic machines.,lower,sound of waves breaking on a rocky shore,hum of electronic machines
The sound of walking over gravel typically has a [MASK] pitch than the sound of footsteps in a tunnel.,higher,walking over gravel,footsteps in a tunnel
The sound of a thunderstorm typically has a [MASK] pitch than the sound of water in the Donaukanal in Vienna.,lower,sound of a thunderstorm,sound of water in the Donaukanal in Vienna
The sound of a windy forest typically has a [MASK] pitch than the sound of moving metal.,lower,windy forest,moving metal
The sound of a storm at sea has a [MASK] pitch than the sound of a city.,lower,sound of a storm at sea,sound of a city
The sound of walking on gravel typically has a [MASK] pitch than the sound of water flowing.,higher,sound of walking on gravel,sound of water flowing
The sound of a village marketplace typically has a [MASK] pitch than the sound of a quiet neighborhood at night.,higher,village marketplace,quiet neighborhood at night
The sound of melting snow dripping into a steel grate typically has a [MASK] pitch than the sound of children's voices in a park.,higher,sound of melting snow dripping into a steel grate,sound of children's voices in a park
The sound of wind through a pipe has a [MASK] pitch than the sound of an automatic garage door sliding open and close.,higher,wind through a pipe,automatic garage door sliding open and close
The sound of melting snow dripping into a plastic grate typically has a [MASK] pitch than the sound of raw branches burning slowly.,higher,melting snow dripping into a plastic grate,raw branches burning slowly
The sound of a school corridor typically has a [MASK] pitch than the sound of stepping in the snow.,higher,sound of a school corridor,sound of stepping in the snow
The sound of sea wash typically has a [MASK] pitch than the bass beats from night clubs.,lower,sound of sea wash,bass beats from night clubs
The sound of a subway station emergency exit door typically has a [MASK] pitch than the twittering of birds in a garden.,lower,sound of a subway station emergency exit door,twittering of birds in a garden
The sound of a truck typically has a [MASK] pitch than bird calls.,lower,sound of a truck,bird calls
The sound of a cafe typically has a [MASK] pitch than the howling of the wind.,higher,sound of a cafe,howling of the wind
The sound of wood creaking has a [MASK] pitch than the background noise of a grocery store.,higher,wood creaking,background noise of a grocery store
The sound of wind in the trees has a [MASK] pitch than the sound of rain on a grave.,higher,wind in the trees,sound of rain on a grave
The sound of rain on an umbrella has a [MASK] pitch than the sound of a small Greek harbor.,higher,sound of rain on an umbrella,small Greek harbor
The sound of the wind singing through a suspension bridge typically has a [MASK] pitch than the sound of knocking on a bathtub.,higher,wind singing through a suspension bridge,knocking on a bathtub
The sound of a hospital ward typically has a [MASK] pitch than the sound of a futuristic city.,lower,sound of a hospital ward,sound of a futuristic city
The sound of a noodle soup restaurant typically has a [MASK] pitch than the sound of a natural pond near a village.,higher,sound of a noodle soup restaurant,sound of a natural pond near a village
The sound of a door closing typically has a [MASK] pitch than the sound of a backyard.,higher,Door closing,home back yard
The sound of a church bell typically has a [MASK] pitch than the chatter in an airport cafeteria.,higher,sound of a church bell,chatter in an airport cafeteria
The sound of a city square typically has a [MASK] pitch than the sound of metal grids falling.,lower,sound of a city square,metal grids falling
The sound of underwater ambience typically has a [MASK] pitch than the sound of a seagull.,lower,sound of underwater ambience,sound of a seagull
The sound of a bedroom lamp switch has a [MASK] pitch than the sound of an office air conditioner.,higher,bedroom lamp switch,office air conditioner
The sound of a flowing stream typically has a [MASK] pitch than the sound of birds in the woods.,lower,flowing stream,birds in the woods
The sound of a subway train typically has a [MASK] pitch than the ambient noise of a sleeping building.,higher,sound of a subway train,ambient noise of a sleeping building
The sound of a library atmosphere typically has a [MASK] pitch than the sound of water in a rain drain system.,lower,library atmosphere,water in a rain drain system
The sound of footsteps in a stairwell typically has a [MASK] pitch than the ambient sound of an unfinished basement.,higher,footsteps in a stairwell,ambient sound of an unfinished basement
The sound of a church bell typically has a [MASK] pitch than the sound of an apartment door closing.,higher,church bell,apartment door closing
The hum of fluorescent lights in a hallway typically has a [MASK] pitch than the sound of a roller coaster.,higher,hum of fluorescent lights in a hallway,sound of a roller coaster
The sound of vehicles and people in a midday village atmosphere typically has a [MASK] pitch than the sound of dry leaves skittering across street tiles.,lower,sound of vehicles and people in a midday village atmosphere,dry leaves skittering across street tiles
The sound of a church environment typically has a [MASK] pitch than the sound of stepping on stones.,higher,church environment,stepping on stones
The sound of water rushing through a small space of rocks typically has a [MASK] pitch than the sound of a hotel toilet flush.,higher,sound of water rushing through a small space of rocks,hotel toilet flush
The sound of ice cracking typically has a [MASK] pitch than the sounds of construction.,higher,sound of ice cracking,sounds of construction
The sound of cicadas in a forest typically has a [MASK] pitch than the ambient sound of a calm metro station platform.,higher,sound of cicadas in a forest,ambient sound of a calm metro station platform
The sound of rocks knocking in a mountain soundscape has a [MASK] pitch than the general noise of a city soundscape.,higher,sound of rocks knocking in a mountain soundscape,general noise of a city soundscape
The sound of water dripping on a towel typically has a [MASK] pitch than the ambient noise of a city square.,higher,water dripping on a towel,ambient noise of a city square
The sound of walking in leaves typically has a [MASK] pitch than the sound of a fan.,lower,sound of walking in leaves,sound of a fan
The sound of heavy trucks on a busy street typically has a [MASK] pitch than the ambience of an office.,lower,heavy trucks on a busy street,ambience of an office
The sound of a porta potty door typically has a [MASK] pitch than an elevator door.,higher,porta potty door,elevator door
The sound of crashing waves on a beach typically has a [MASK] pitch than the sound of a percussionist playing at a flea market.,lower,sound of crashing waves on a beach,sound of a percussionist playing at a flea market
The sound of machines in a factory typically has a [MASK] pitch than the sounds of a river and birds.,higher,sound of machines in a factory,sounds of a river and birds
Room noise at an elementary school typically has a [MASK] pitch than the sound of running water in a sink.,lower,room noise at an elementary school,sound of running water in a sink
The sound of a metal delivery dolly being pushed through a door typically has a [MASK] pitch than the crackling of a bonfire.,higher,metal delivery dolly being pushed through a door,crackling of a bonfire
The sound of a marketplace typically has a [MASK] pitch than the sound of water streaming onto the muddy ground.,higher,sound of a marketplace,water streaming onto the muddy ground
The sound of rummaging through a recycling bin typically has a [MASK] pitch than the ambient sounds of the outdoors.,higher,sound of rummaging through a recycling bin,ambient sounds of the outdoors
The sound of a city typically has a [MASK] pitch than the sound of a neighborhood in West Los Angeles.,higher,sound of a city,sound of a neighborhood in West Los Angeles
The sound of ice blocks typically has a [MASK] pitch than the sound of a burning candle.,higher,sound of ice blocks,sound of a burning candle
The sound of a production line typically has a [MASK] pitch than the sound of a deep breath in a laboratory.,higher,production line,deep breath in a laboratory
The sound of a small air conditioning unit typically has a [MASK] pitch than the sound of rain falling on rooftops.,higher,small air conditioning unit,rain falling on rooftops
The sound of a soundwalk typically has a [MASK] pitch than roomtone ambience.,higher,sound of a soundwalk,roomtone ambience
The sound of wood burning in a fireplace typically has a [MASK] pitch than the sound of water on seaside rocks.,higher,wood burning in a fireplace,water on seaside rocks
The sound of stomping on ice has a [MASK] pitch than the sound in a restaurant.,higher,sound of stomping on ice,sound in a restaurant
The sound of the ocean at Ruby Beach typically has a [MASK] pitch than the sound of throwing rubbish into a plastic container.,lower,sound of the ocean at Ruby Beach,throwing rubbish into a plastic container
The sound of a wooden floor creaking typically has a [MASK] pitch than the sound of small stones falling.,higher,wooden floor creaking,small stones falling
The sound of a crowd in a station typically has a [MASK] pitch than the sound of walking on dead leaves.,higher,crowd in a station,walking on dead leaves
The sound of an object falling typically has a [MASK] pitch than the sound of a night-time stream.,higher,object falling,night-time stream
The sound of a riverside ambiance has a [MASK] pitch than the sound of walking on debris.,lower,riverside ambiance,walking on debris
The sound of a winter forest at night typically has a [MASK] pitch than the sound of a large walk-in fridge.,lower,sound of a winter forest at night,large walk-in fridge
The sound of cicadas typically has a [MASK] pitch than urban traffic.,higher,sound of cicadas,urban traffic
The sound of a school during break time typically has a [MASK] pitch than the sound of demolition.,higher,sound of a school during break time,sound of demolition
The sound of underground water typically has a [MASK] pitch than the background noise in a house.,lower,sound of underground water,background noise in a house
The sound of a trash can typically has a [MASK] pitch than the crackling of a campfire.,higher,sound of a trash can,crackling of a campfire
The sound of a park ambience has a [MASK] pitch than the sound of steps on dry leaves.,higher,sound of a park ambience,steps on dry leaves
The sound of pouring water typically has a [MASK] pitch than the ambient sound of a backyard.,higher,sound of pouring water,ambient sound of a backyard
The sound of jumping into water in a thunderstorm typically has a [MASK] pitch than the sound of howler monkeys in the jungle.,lower,sound of jumping into water in a thunderstorm,sound of howler monkeys in the jungle
The sound of wind and seagulls typically has a [MASK] pitch than the sound of a silent room.,higher,sound of wind and seagulls,sound of a silent room
The sound of a rockpool filling and draining typically has a [MASK] pitch than the noise of a busy food market.,lower,rockpool filling and draining,busy food market
The sound of a car park typically has a [MASK] pitch than the sound of an air pump.,higher,sound of a car park,sound of an air pump
The sound of a supermarket checkout typically has a [MASK] pitch than the sound of running water in a kitchen sink.,higher,supermarket checkout,running water in a kitchen sink
The sound of people chatting on a clifftop typically has a [MASK] pitch than the sound of hammering at a construction site.,lower,sound of people chatting on a clifftop,sound of hammering at a construction site
The sound of ocean waves typically has a [MASK] pitch than the hum of air conditioning.,higher,ocean waves,hum of air conditioning
The hum of night road noise typically has a [MASK] pitch than the chirping of crickets.,lower,hum of night road noise,chirping of crickets
The sound of footsteps on grass typically has a [MASK] pitch than the ambient sounds of a river marina.,higher,sound of footsteps on grass,ambient sounds of a river marina
The sound of water dripping in a cave typically has a [MASK] pitch than the sound of city traffic.,lower,sound of water dripping in a cave,sound of city traffic
The sound of a bathroom fan typically has a [MASK] pitch than the sound of birds in the woodlands.,higher,sound of a bathroom fan,birds in the woodlands
The sound of children playing on a beach typically has a [MASK] pitch than the sound of birds in a city park.,lower,sound of children playing on a beach,sound of birds in a city park
The sound of a torch typically has a [MASK] pitch than the sound of insects.,higher,torch,insects
The sound of a dark and spooky atmosphere typically has a [MASK] pitch than the chirping of birds in an urban ambience.,lower,dark and spooky atmosphere,chirping of birds in an urban ambience
The sound of a cave atmosphere typically has a [MASK] pitch than the sound of bubbles.,lower,sound of a cave atmosphere,sound of bubbles
The sound of a busy road typically has a [MASK] pitch than an elevator.,lower,sound of a busy road,elevator
The sound of walking through thick bushveld typically has a [MASK] pitch than the sound of snow sirens and wind.,lower,sound of walking through thick bushveld,snow sirens and wind
The sound of a Canadian prairie summer typically has a [MASK] pitch than the sound of a spring park ambience.,lower,sound of a Canadian prairie summer,sound of a spring park ambience
The sound of fire smouldering has a [MASK] pitch than the sound of an office atmosphere.,higher,sound of fire smouldering,sound of an office atmosphere
The sound of night time ambiance typically has a [MASK] pitch than the sound of a train.,lower,sound of night time ambiance,sound of a train
The sound of a laundry room typically has a [MASK] pitch than the sound of a hospital at night.,lower,sound of a laundry room,sound of a hospital at night
The sound of birds in a European city park typically has a [MASK] pitch than the hum in a staircase.,higher,sound of birds in a European city park,hum in a staircase
The sound of birds and cicadas in the jungle typically has a [MASK] pitch than the sound of running water from a faucet.,higher,birds and cicadas in the jungle,running water from a faucet
The sound of a gas firepit burning typically has a [MASK] pitch than the sound of a sailboat sail flapping with insect summer ambience.,lower,gas firepit burning,sailboat sail flapping with insect summer ambience
The sound of a water sprayer has a [MASK] pitch than the sound of footsteps on a wooden staircase.,higher,sound of a water sprayer,sound of footsteps on a wooden staircase
The sound of a high-rise stairwell typically has a [MASK] pitch than the sound of a construction site.,lower,sound of a high-rise stairwell,sound of a construction site
The sound of church bells in a summer ambiance typically has a [MASK] pitch than the general noise in a ship restaurant.,higher,sound of church bells in a summer ambiance,general noise in a ship restaurant
The sound of a freezer typically has a [MASK] pitch than the sound of a mall.,higher,sound of a freezer,sound of a mall
The sound of a metal gate creaking typically has a [MASK] pitch than people talking.,higher,sound of a metal gate creaking,people talking
The sound of water droplets typically has a [MASK] pitch than the sound of footsteps in the snow.,higher,sound of water droplets,sound of footsteps in the snow
The sound of someone going up and down rubber stairs typically has a [MASK] pitch than the sound of a riverboat's repetitive mechanical sounds.,higher,sound of someone going up and down rubber stairs,sound of a riverboat's repetitive mechanical sounds
The sound of a summer farm ambience typically has a [MASK] pitch than the sound of a flag pole with cable banging against it.,lower,sound of a summer farm ambience,flag pole with cable banging against it
The sound of dripping water on a ceramic cooktop typically has a [MASK] pitch than the sound of people talking in a park.,higher,sound of dripping water on a ceramic cooktop,sound of people talking in a park
