animal,span,sentence,A,B,C,D,Answer
bird,loud cry,A [MASK] makes a loud cry.,elephant,bird,crocodile,lion,B
birds,chirping,"When birds are fighting, they make a [MASK] sound.",goats,birds,sheep,cows,B
dog,slurping,The sound of a [MASK] drinking water is slurping.,dog,bird,cat,rabbit,A
bullfrog,croaking,A [MASK] makes a croaking sound.,cat,bird,bullfrog,dog,C
cricket,chirping sound,The [MASK] makes a chirping sound that can be heard on summer nights.,cricket,mosquito,butterfly,caterpillar,A
cricket,sound of a cricket,The sound of a [MASK] is often used to represent an awkward silence in comedy.,kangaroo,cricket,eagle,bear,B
hippopotamus,Grunting,Grunting is the sound a [MASK] makes.,gorilla,pig,sheep,hippopotamus,D
new holland honeyeater,"high-pitched, bird-like call","The sound of a [MASK] can be described as a high-pitched, bird-like call.",new holland honeyeater,kangaroo,platypus,koala,A
cow,moo,The sound of a [MASK] is a moo.,horse,cow,goat,sheep,B
cricket,chirping,The sound of a [MASK] chirping is a common sound in the night.,cricket,owl,bat,raccoon,A
dog,jingle,Jingle is the sound a [MASK]'s collar makes.,dog,rabbit,cat,hamster,A
bird,Talking,A [MASK] can mimic human speech.,falcon,owl,eagle,bird,D
horsefly,buzzing,The [MASK] makes a loud buzzing sound.,bee,horsefly,butterfly,mosquito,B
wasp,buzzing,The sound of a [MASK] buzzing around is quite distinct.,wasp,bee,mosquito,fly,A
cicadas,sound,The sound of [MASK] can be heard during a hot summer noon.,bees,ants,crickets,cicadas,D
cicada,Cicada sounds,The sound of [MASK] can be heard in a rainforest.,sloth,platypus,cicada,armadillo,C
horse,hooves clattering,The sound of [MASK] hooves clattering is often heard on asphalt.,zebra,giraffe,elephant,horse,D
animal,growling snarl,A [MASK] makes a growling snarl sound.,elephant,animal,zebra,giraffe,B
gull,loud squawking sound,A [MASK] makes a loud squawking sound.,owl,gull,eagle,dove,B
penguin,high-pitched braying or donkey-like,A [MASK] makes a high-pitched braying or donkey-like sound.,donkey,zebra,giraffe,penguin,D
dog,Crunching,Crunching is the sound a [MASK] makes when it chews a bone.,rabbit,hamster,dog,cat,C
dog,skittering,The sound of a [MASK] walking on a hard surface is often described as skittering.,dog,rabbit,squirrel,cat,A
birds,chirping,Chirping is the sound of [MASK] in the morning.,rabbits,birds,dogs,cats,B
bat,the sound of bats,The sound of [MASK] can be recreated using a synth.,eagle,kangaroo,dolphin,bat,D
donkey,bray,A [MASK] makes a sound like a bray.,giraffe,zebra,donkey,horse,C
cuckoo,cooing,A [MASK] makes a cooing sound in the woods.,cuckoo,parrot,hummingbird,owl,A
small animal,nibbling,The sound of nibbling is typically associated with a [MASK].,lion,elephant,small animal,giraffe,C
cat,thump,A [MASK] makes a thump sound when it falls.,cat,giraffe,lion,elephant,A
bird,Clucking,Clucking is the sound a [MASK] makes.,bird,snake,fish,kangaroo,A
bird,barking,A [MASK] makes a barking sound.,dog,bird,cat,rabbit,B
bird,loud squawk,A [MASK] makes a loud squawk sound.,turtle,fish,snake,bird,D
fish,glub glub,Glub glub is the sound of [MASK] in an aquarium.,bear,eagle,fish,kangaroo,C
pig,loud oink,A [MASK] makes a loud oink sound.,pig,horse,cow,sheep,A
horse,clip-clop,A [MASK] makes a clip-clop sound when it runs.,giraffe,elephant,horse,zebra,C
animal,rustling,The sound of [MASK] walking on dry leaves is a rustling sound.,giraffe,elephant,animal,lion,C
mockingbird,mimic,A [MASK] can mimic the sounds of other birds.,eagle,penguin,mockingbird,owl,C
birds,singing chirp,[MASK] make singing chirp sounds.,turtles,snakes,birds,fish,C
fly,buzzing,The sound of a [MASK] buzzing before it dies is called a sick fly enemy dead sound.,mosquito,butterfly,fly,bee,C
bird,call,The sound of a [MASK] is a distinctive call in the jungle.,giraffe,zebra,tiger,bird,D
dog,Exhalation,A [MASK] makes a sound when exhaling.,rabbit,horse,dog,cat,C
insect,crickets,The sound of crickets is a [MASK] noise.,snake,kangaroo,bear,insect,D
frog,croaking,A [MASK] makes a croaking sound.,frog,newt,toad,salamander,A
bunny,'oww',An [MASK] makes a sound like 'oww'.,kangaroo,koala,bunny,wallaby,C
cricket,chirping,The sound of [MASK] can be described as a chirping.,cricket,kangaroo,bear,eagle,A
peafowl,loud screech,The sound of a [MASK] is a loud screech.,eagle,peafowl,vulture,owl,B
cicada,buzzing,The sound of [MASK] can be heard during the summer months.,mosquito,bee,spider,cicada,D
cat,purr,A [MASK] makes a low sound like a purr.,lion,cat,dog,bear,B
tiger,moaning,A [MASK] makes a moaning sound.,bear,lion,tiger,gorilla,C
dinosaur,heavy footsteps,The sound of heavy footsteps is often associated with a [MASK] walking.,elephant,giraffe,hippopotamus,dinosaur,D
dog,(No span given since the reference text does not provide any specific sound related to the animal eating.),[MASK] make a sound when they eat.,horse,cat,rabbit,dog,D
water fowl,Quack,Quack is the sound a [MASK] makes.,zebra,water fowl,tiger,giraffe,B
dog,Sniffing,Sniffing is the sound a [MASK] makes when it is searching for something.,dog,cat,rabbit,bird,A
quail,call,A [MASK] makes a sound that is often heard in the spring.,duck,chicken,quail,goose,C
bird,funny tweet,A [MASK] makes a funny tweet sound.,horse,dog,cat,bird,D
swallow,high-pitched chirping,The sound of a [MASK] is a high-pitched chirping.,eagle,hawk,vulture,swallow,D
horse,leather and tack movement,The sound of leather and tack movement is associated with a [MASK].,giraffe,horse,elephant,zebra,B
horse,crunching munch,The sound of a [MASK] eating is a crunching munch.,elephant,zebra,horse,giraffe,C
fly,buzzing,The sound of a [MASK] buzzing around a window.,mosquito,butterfly,bee,fly,D
bird,chirp chirp,A [MASK] makes a sound like 'chirp chirp'.,snake,fish,bird,kangaroo,C
cattle,moo,The sound of a [MASK] is often described as a moo.,giraffe,elephant,lion,cattle,D
fulmar,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",eagle,fulmar,seagull,owl,B
dog,Squeaking,Squeaking is the sound a [MASK] toy makes.,cat,dog,hamster,rabbit,B
nighthawk,swooshing,The [MASK] makes a distinctive swooshing sound as it dives.,nighthawk,eagle,owl,falcon,A
cricket,singing,The sound of a [MASK] singing is a common summer sound in northeast China.,kangaroo,cricket,eagle,bear,B
northern cardinal,"clear, loud, and whistling call","The sound of a [MASK] is a clear, loud, and whistling call.",woodpecker,northern cardinal,owl,blue jay,B
bee,buzzing,The sound of [MASK] buzzing is associated with pollination.,fly,bee,ant,mosquito,B
kingfisher,"high-pitched, sharp call","A [MASK] makes a high-pitched, sharp call.",eagle,kingfisher,owl,parrot,B
bird,killdeer,"The sound of a [MASK] is a distinctive, high-pitched 'killdeer.'",owl,penguin,flamingo,bird,D
sheep,eating,The sound of sheep eating is a [MASK] sound.,sheep,horse,cow,goat,A
cicadas,sound of cicadas,The sound of [MASK] can be heard during the summer in Sardinia.,beetles,crickets,cicadas,grasshoppers,C
raven,cawing,A [MASK] makes a cawing sound when flying.,hawk,eagle,owl,raven,D
insects,crickets chirpin,The sound of crickets is a [MASK] sound.,insects,reptiles,mammals,birds,A
goat,'maa.',The sound of a [MASK] is 'maa.',horse,sheep,goat,cow,C
dog,Panting,Panting is the sound a [MASK] makes when excited.,rabbit,dog,hamster,cat,B
starling,singing,The sound of a [MASK] singing is a beautiful melody in nature.,eagle,bear,starling,giraffe,C
dragon,growling roar,A [MASK] makes a growling roar sound.,lion,tiger,dragon,bear,C
pet,Claws clattering on a wooden floor,Claws clattering on a wooden floor is a sound made by a [MASK].,lion,elephant,pet,dog,C
horse,whinny,A [MASK] makes a sound called a whinny.,zebra,giraffe,horse,elephant,C
bird,flapping,Flapping is the sound a [MASK] makes.,fish,bird,kangaroo,snake,B
cicada,cicada song,The sound of [MASK] can be heard in nature.,gorilla,cicada,dolphin,bear,B
dragon,Clomp,Clomp is the sound a [MASK] makes.,snake,crocodile,dragon,lizard,C
grasshopper,wing snapping,The sound of rapid wing snapping is associated with a [MASK].,bee,butterfly,cricket,grasshopper,D
insect,crickets,The sound of crickets in a cornfield is a [MASK] sound.,frog,snake,insect,bird,C
bear,growling and snorting,A [MASK] makes a growling and snorting sound.,gorilla,lion,tiger,bear,D
birds,chirping,[MASK] make chirping sounds in nature.,turtles,fish,snakes,birds,D
insect,buzzing,The sound of bees is a [MASK] buzzing.,insect,kangaroo,eagle,bear,A
dog,wine,A [MASK] makes a sound of wine.,dog,elephant,cat,lion,A
dog,Paw-steps,Paw-steps are the sound of a [MASK] running.,rabbit,squirrel,cat,dog,D
cattle,mooing,A [MASK] makes a mooing sound.,lion,elephant,cattle,crocodile,C
bee,buzzing,A [MASK] makes a buzzing sound.,zebra,giraffe,eagle,bee,D
dog,thump,The sound of a [MASK] wagging its tail is a rhythmic thump.,dog,rabbit,hamster,cat,A
frog,Ribbet,Ribbet is the sound a [MASK] makes.,salamander,newt,toad,frog,D
dog,jingle,Jingle is the sound a [MASK] makes when it eats.,cat,horse,rabbit,dog,D
crickets,Crikets,"At night, the sound of [MASK] can be heard in the French Landes nature.",crickets,bats,frogs,owls,A
horse,galloping,The sound of a [MASK] galloping on cobblestone.,giraffe,horse,zebra,elephant,B
hawk,screeching,Screeching is the sound a [MASK] makes.,vulture,owl,hawk,eagle,C
raven,Clicking,Clicking is the sound a [MASK] makes.,crow,eagle,raven,vulture,C
cat,crunching,The sound of crunching is typically associated with a [MASK] eating.,rabbit,dog,cat,mouse,C
mockingbird,"variety of sounds, including imitations of other birds","A [MASK] makes a variety of sounds, including imitations of other birds.",blue jay,robin,sparrow,mockingbird,D
bird,golden-oriole callings,The sound of a [MASK] can be heard in the forest.,snake,bird,deer,bear,B
bird,singing,The sound of a [MASK] singing is a pleasant bird song.,bird,cat,dog,horse,A
dog,walking,[MASK] make a walking sound on pavement.,squirrel,cat,dog,rabbit,C
crocodile,biting,A [MASK] makes a biting sound.,lion,giraffe,crocodile,elephant,C
chicken,squishing,[MASK] makes a squishing sound when it's being gutted.,frog,snake,fish,chicken,D
fish,Slapping,Slapping is the sound a [MASK] makes when it's being cleaned.,eagle,kangaroo,fish,bear,C
fish,flopping,Flopping is the sound a [MASK] makes when it's on land.,eagle,bear,kangaroo,fish,D
goat,Clacking,Clacking is the sound a [MASK] makes.,cow,sheep,horse,goat,D
seal,breathing,A [MASK] makes a breathing sound.,walrus,whale,dolphin,seal,D
pig,Squeal,Squeal is the sound a [MASK] makes.,pig,sheep,horse,cow,A
bugs,slime,Slime is often associated with [MASK] crawling.,turtles,bugs,snakes,lizards,B
cat,miaow,A [MASK] makes a miaow sound.,bird,dog,rabbit,cat,D
australian magpie,Carolling,Carolling is the sound a [MASK] makes.,australian magpie,kangaroo,emu,koala,A
bird,trill,The sound of a [MASK] singing is a distinctive trill.,horse,cat,bird,dog,C
bat,Squealing,Squealing is the sound a [MASK] makes.,dog,bat,pig,cat,B
bird,"clear, pure song","A [MASK] makes a clear, pure song.",bear,snake,bird,tiger,C
bird,singing,A [MASK] makes a sound of singing in the morning.,fish,bird,snake,kangaroo,B
bird,complex song,"The sound of a [MASK] is a distinctive, complex song.",kangaroo,bird,snake,fish,B
insect,chirping,The sound of crickets is a [MASK] chirping.,insect,snake,frog,bird,A
guinea pig,squeaking,Squeaking is the sound a [MASK] makes when it's hungry.,guinea pig,mouse,hamster,rabbit,A
swallow,canto de golondrinas,The sound of a [MASK] can be heard over a background of distant church bells and city rumble.,swallow,hawk,vulture,eagle,A
chick,Squeak,Squeak is the sound a [MASK] makes.,rabbit,mouse,squirrel,chick,D
woodpecker,tapping,A [MASK] makes a tapping sound on a tree.,owl,eagle,woodpecker,crow,C
elephant seal,low rumbling,The sound of [MASK] sunbathing is a low rumbling.,walrus,sea lion,seal,elephant seal,D
bird,geese,The sound of geese flying overhead is associated with a [MASK].,bird,mammal,fish,insect,A
coyote,howling,Howling is the sound a [MASK] makes.,coyote,wolf,jackal,fox,A
fox,"high-pitched, screeching sound","An [MASK] makes a high-pitched, screeching sound.",crow,fox,eagle,owl,B
bird,two-note song,A [MASK] makes a two-note song sound.,tiger,bear,kangaroo,bird,D
bird,low tone,A [MASK] makes a low tone sound.,lion,giraffe,bird,zebra,C
bird,sound of a bird,The sound of a [MASK] is often heard near water.,snake,fish,frog,bird,D
rooster,Cocorico,A [MASK] makes a sound called 'Cocorico'.,chicken,goose,rooster,duck,C
cricket,summer night chorus,A [MASK] makes a sound like a summer night chorus.,snake,cricket,bird,frog,B
cicada,"loud, high-pitched buzzing","The sound of a [MASK] is often described as a loud, high-pitched buzzing.",mosquito,bee,fly,cicada,D
chaffinch,bird call,The sound of a [MASK] is a distinctive bird call.,woodpecker,robin,chaffinch,sparrow,C
cat,crunch,A [MASK] makes a crunch sound when it's hurt or dying.,mouse,dog,cat,rabbit,C
cougar,growling,A [MASK] makes a growling sound.,tiger,leopard,lion,cougar,D
house wren,House Wren,The sound of a [MASK] can be heard in a patch of poison oak.,blue jay,house wren,woodpecker,cardinal,B
parrot,rattling,A [MASK] makes a rattling sound.,parrot,rabbit,monkey,snake,A
insect,sound of crickets,The sound of crickets in the night is a [MASK].,snake,bear,kangaroo,insect,D
cat,scrowl,A [MASK] makes a scrowl sound when it's mad.,rabbit,cat,mouse,dog,B
dog,yap,A [MASK] makes a yap sound.,cat,rabbit,bird,dog,D
maritaca,singing,The sound of a [MASK] singing is a tropical bird song.,parrot,hummingbird,toucan,maritaca,D
hoofbeats,hoofbeats,The sound of a horse in the forest is a [MASK].,growling,hoofbeats,barking,purring,B
cicada,singing,The sound of singing in the hot summer is often associated with a [MASK].,bee,cicada,mosquito,spider,B
rabbit,thumping,A [MASK] makes a thumping sound on the ground.,rabbit,squirrel,deer,kangaroo,A
bug,buzzing,The sound of a [MASK] buzzing is a common everyday sound.,bug,bear,eagle,kangaroo,A
flamingo,high-pitched squawk,The sound of a [MASK] is a high-pitched squawk.,flamingo,owl,eagle,penguin,A
turtle,funny moaning,A [MASK] makes a funny moaning sound.,turtle,kangaroo,sloth,koala,A
seagull,harsh screech,A [MASK] makes a harsh screech sound.,owl,crow,seagull,eagle,C
bat,squeaking,Squeaking sounds in a large group are often associated with a [MASK].,bat,rat,mouse,squirrel,A
hen,clucking,A [MASK] makes a clucking sound.,goose,hen,rooster,duck,B
goose,honking,A [MASK] makes a honking sound when it is surprised.,swan,chicken,goose,duck,C
wasp,buzzing,The sound of a [MASK] buzzing is often heard in nature.,bee,beetle,wasp,ant,C
cat,'meow',An [MASK] makes a sound like 'meow'.,mouse,dog,cat,rabbit,C
cicada,buzzing,The sound of a [MASK] buzzing is often heard in the morning.,bee,cicada,fly,mosquito,B
stork,squawk,A [MASK] makes a squawk sound.,penguin,eagle,stork,owl,C
dog,pitter-patter,The sound of a [MASK] running is often described as a pitter-patter.,dog,cat,rabbit,squirrel,A
pig,Oinc,Oinc is the sound a [MASK] makes.,pig,cow,sheep,horse,A
bird,Chatter,Chatter is the sound a [MASK] makes.,bird,snake,kangaroo,fish,A
cat,'meow.',A [MASK] makes a sound like 'meow.',dog,cat,rabbit,mouse,B
insect,"loud, mesmerizing chorus","The sound of a [MASK] in summer is a loud, mesmerizing chorus.",eagle,bear,insect,kangaroo,C
bird,"Canyon wren calls, then chirps",Canyon wren sings a [MASK] sound.,tiger,eagle,bird,bear,C
cricket,chirping,The sound of a [MASK] is often heard during summer evenings.,cricket,frog,mosquito,bird,A
cicada,"high-pitched, robotic-sounding noise","A [MASK] makes a high-pitched, robotic-sounding noise.",bee,spider,cicada,mosquito,C
rabbit,squeak or an oink,A [MASK] makes a sound like a squeak or an oink.,kangaroo,mouse,rabbit,pig,C
pig,Squeaking,Squeaking is the sound a [MASK] makes.,cow,dog,pig,cat,C
bug,weird buzzing,A [MASK] makes a weird buzzing noise.,bear,kangaroo,bug,eagle,C
garden warbler,melodic warbling,The [MASK] makes a melodic warbling sound.,tiger,eagle,dolphin,garden warbler,D
dog,dog's nails on a wooden or laminated floor,The sound of a dog's nails on a wooden or laminated floor is a distinctive [MASK] sound.,rabbit,cat,dog,hamster,C
bird,high-pitched tweet,A [MASK] makes a high-pitched tweet.,bear,tiger,bird,snake,C
lion,bellowing roar,A [MASK] makes a bellowing roar sound.,lion,elephant,tiger,gorilla,A
horse,hooves on gravel,The sound of [MASK] hooves on gravel is distinct.,elephant,giraffe,zebra,horse,D
bird,"high-pitched, melodic sound","The [MASK] makes a high-pitched, melodic sound.",kangaroo,dolphin,whale,bird,D
pig,snoring,Snoring is the sound a [MASK] makes when it's sleeping.,zebra,pig,elephant,giraffe,B
alpaca,humming,Humming is the sound a [MASK] makes.,giraffe,zebra,kangaroo,alpaca,D
pig,loud munching,The sound of [MASK] eating is often described as a loud munching.,giraffe,zebra,pig,elephant,C
crested lark,close call of Crested Lark,The sound of a [MASK] can be heard in the marshes of southern Spain.,flamingo,stork,crested lark,ibis,C
bird,whistling,The [MASK] makes a whistling sound in the tropical forest.,bird,snake,tiger,monkey,A
baby bird,high-pitched chirping,A [MASK] makes a high-pitched chirping sound.,baby bird,baby rabbit,baby mouse,baby squirrel,A
robin,chirping,The sound of birds chirping can be associated with a [MASK].,eagle,whale,robin,shark,C
skylark,high-pitched cry,A [MASK] makes a high-pitched cry.,crow,owl,eagle,skylark,D
dog,Squeaking,Squeaking is the sound a [MASK] makes when it plays with a toy.,hamster,rabbit,dog,cat,C
rattlesnake,hiss and tail rattle,The sound of a [MASK] is a hiss and a tail rattle.,rattlesnake,anaconda,python,cobra,A
insect,crickets,The sound of crickets is a common [MASK] in the night.,snake,bear,kangaroo,insect,D
horse,crunching,The sound of [MASK] eating grass is a crunching sound.,elephant,horse,giraffe,zebra,B
cricket,the sound of a,The sound of a [MASK] is often heard at night.,owl,bat,cricket,raccoon,C
falcon,screeching,A [MASK] makes a screeching sound.,eagle,owl,falcon,hawk,C
blackbird,common bird song,The sound of a [MASK] singing is a common bird song.,blackbird,penguin,eagle,dolphin,A
bird,Alien Bird Creature Monster SFX,[MASK] can make a sound that is often described as alien or monstrous.,horse,cat,dog,bird,D
bird,coot call,The [MASK] makes a coot call sound.,bird,snake,fish,mammal,A
turkey,Gobble gobble,Gobble gobble is the sound a [MASK] makes.,turkey,chicken,duck,goose,A
galah,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",giraffe,galah,owl,penguin,B
dog,snoring,Snoring is the sound a [MASK] makes.,rabbit,cat,dog,hamster,C
bird,wings flapping,The sound of [MASK] wings flapping is a common sound in nature.,kangaroo,snake,bird,fish,C
grasshopper,singing,The sound of [MASK] can be heard in a field.,penguin,flamingo,kangaroo,grasshopper,D
oystercatcher,piping call,"The sound of a [MASK] is a distinctive, loud, and clear piping call.",penguin,seagull,oystercatcher,flamingo,C
bird,singing,The sound of a [MASK] singing in the morning is a pleasant experience.,bear,kangaroo,bird,snake,C
blyth's reed warbler,"high-pitched, repetitive notes","The sound of a [MASK] is a series of high-pitched, repetitive notes.",arctic fox,blyth's reed warbler,bengal tiger,african elephant,B
black swan,Trumpeting,Trumpeting is the sound a [MASK] makes.,black swan,elephant,giraffe,lion,A
hawk,high-pitched cry,A [MASK] makes a high-pitched cry.,hawk,eagle,vulture,osprey,A
bird,birds singing,The sound of birds singing in a garden is known as [MASK] song.,hawk,vulture,bird,eagle,C
bee,buzzing,The sound of buzzing is typically associated with a [MASK].,mosquito,fly,bee,ant,C
spider,rustling,A [MASK] makes a sound like a plastic bag rustling.,elephant,crocodile,spider,lion,C
insect,crickets,The sound of crickets in the background is a typical [MASK] sound.,insect,kangaroo,snake,bear,A
dog,Mlask mlask,Mlask mlask is the sound a [MASK] makes.,cat,rabbit,dog,horse,C
dog,bow-wow,A [MASK] makes a sound called 'bow-wow.',rabbit,dog,cat,bird,B
dog,growling,An [MASK] makes a growling sound.,cat,lion,bear,dog,D
bug,scurry,Scurry is the sound a [MASK] makes.,bug,snake,bear,kangaroo,A
bird,song,A [MASK] makes a sound that is often described as a song.,cat,bird,dog,horse,B
cat,meowing,A [MASK] makes a meowing sound when happy.,cat,dog,rabbit,mouse,A
bee,buzzing,The sound of a [MASK] buzzing is often heard in the spring.,bee,mosquito,butterfly,fly,A
brushtail possum,munch,Munch is the sound a [MASK] makes when eating.,wombat,koala,kangaroo,brushtail possum,D
mosquito,high-pitched whine,The sound of a [MASK] flying around is often described as a high-pitched whine.,fly,butterfly,bee,mosquito,D
alpaca,coo'ing,A [MASK] makes a coo'ing noise.,pigeon,dove,alpaca,owl,C
bird,chirping,The sound of birds chirping can be associated with a [MASK].,fish,snake,kangaroo,bird,D
bat,high-pitched sounds,The [MASK] uses high-pitched sounds for echolocation.,kangaroo,bat,eagle,dolphin,B
fly,buzzing,The sound of a [MASK] buzzing around a microphone is described as surrealistic.,wasp,bee,mosquito,fly,D
horse,clattering,The sound of [MASK] hooves clattering is often heard on cobblestone streets.,kangaroo,horse,giraffe,elephant,B
chipmunk,laughing,A [MASK] makes a laughing sound.,hyena,monkey,dolphin,chipmunk,D
dog,dog's nail scissors,[MASK] needs nail scissors for grooming.,dog,cat,rabbit,hamster,A
bird,singing,The sound of a [MASK] singing in the morning is a beautiful experience.,snake,bird,kangaroo,fish,B
birds,rustling,The sound of rustling in a garden is often caused by [MASK].,birds,rabbits,squirrels,snakes,A
blackbird,melodic singing,A [MASK] makes a melodic singing sound.,kangaroo,blackbird,owl,eagle,B
